sala,Localização,Latitude,Longitude,nome da rede,banda,largura,canal,wifi mode,mimo,sinal,Velocidade de downlink,velocidade de uplink,latência,jitter,Room,Position,Is_Corredor
K,"dentro K02-S, p3",,,eduroam,2.4 GHz,20 MHz,1.0,802.11n (Wi-Fi 4),3x3,-47 dBm,28 Mbps,26 Mbps,58 ms,23 ms,K02,p3,FALSE
K,"dentro K02-S, p1",,,eduroam,2.4 GHz,20 MHz,1.0,802.11n (Wi-Fi 4),3x3,-47 dBm,12 Mbps,18 Mbps,52 ms,19 ms,K02,p1,FALSE
K,"dentro K02-S, p4",,,eduroam,2.4 GHz,20 MHz,1.0,802.11n (Wi-Fi 4),3x3,-47 dBm,19 Mbps,1 Mbps,24 ms,1 ms,K02,p4,FALSE
K,meio do corredor K-subsolo,,,eduroam,5 GHz,40 MHz,116.0,802.11ac (Wi-Fi 5),3x3,-40 dBm,86 Mbps,94 Mbps,25 ms,1 ms,K,,TRUE
K,meio do corredor K-subsolo,,,eduroam,2.4 GHz,20 MHz,1.0,802.11n (Wi-Fi 4),3x3,-21 dBm,4 Mbps,41 Mbps,58 ms,22 ms,K,,TRUE
K,final do corredor K-subsolo,,,eduroam,5 GHz,40 MHz,116.0,802.11ac (Wi-Fi 5),3x3,-47 dBm,90 Mbps,95 Mbps,36 ms,21 ms,K,,TRUE
K,final do corredor K-subsolo,,,eduroam,2.4 GHz,20 MHz,1.0,802.11n (Wi-Fi 4),3x3,-30 dBm,9 Mbps,39 Mbps,76 ms,36 ms,K,,TRUE
K,final do corredor K-subsolo,,,eduroam,5 GHz,40 MHz,116.0,802.11ac (Wi-Fi 5),3x3,-42 dBm,45 Mbps,97 Mbps,23 ms,1 ms,K,,TRUE
K,final do corredor K-subsolo,,,eduroam,2.4 GHz,20 MHz,1.0,802.11n (Wi-Fi 4),3x3,-30 dBm,49 Mbps,46 Mbps,33 ms,1 ms,K,,TRUE
K,"laboratorio de informatica K01-S, p1",,,eduroam,5 GHz,40 MHz,116.0,802.11ac (Wi-Fi 5),3x3,-57 dBm,55 Mbps,86 Mbps,25 ms,1 ms,K01,p1,FALSE
